17:12:20: CPU=8.4%, RAM=2.9Gi/62Gi, Load=0.21
17:12:50: CPU=74.8%, RAM=31Gi/62Gi, Load=3.20
17:13:21: CPU=90.0%, RAM=45Gi/62Gi, Load=4.96
17:13:51: CPU=99.1%, RAM=46Gi/62Gi, Load=7.00
17:14:22: CPU=92.6%, RAM=45Gi/62Gi, Load=11.04
17:14:53: CPU=91.3%, RAM=45Gi/62Gi, Load=11.87
17:15:24: CPU=96.3%, RAM=45Gi/62Gi, Load=12.87
17:15:55: CPU=95.3%, RAM=45Gi/62Gi, Load=14.22
17:16:26: CPU=94.5%, RAM=45Gi/62Gi, Load=14.97
17:16:56: CPU=98.2%, RAM=45Gi/62Gi, Load=15.29
17:17:27: CPU=96.8%, RAM=47Gi/62Gi, Load=14.31
17:17:58: CPU=98.1%, RAM=48Gi/62Gi, Load=14.49
17:18:28: CPU=97.6%, RAM=49Gi/62Gi, Load=14.72
17:19:00: CPU=92.1%, RAM=53Gi/62Gi, Load=12.21
17:19:31: CPU=97.7%, RAM=54Gi/62Gi, Load=12.74
17:20:01: CPU=96.4%, RAM=53Gi/62Gi, Load=13.41
17:20:32: CPU=98.2%, RAM=53Gi/62Gi, Load=14.08
17:21:03: CPU=98.6%, RAM=54Gi/62Gi, Load=13.66
17:21:34: CPU=98.7%, RAM=60Gi/62Gi, Load=13.33
17:22:05: CPU=58.9%, RAM=62Gi/62Gi, Load=13.98
17:22:36: CPU=94.4%, RAM=61Gi/62Gi, Load=15.26
17:23:07: CPU=98.6%, RAM=61Gi/62Gi, Load=15.48
17:23:38: CPU=93.0%, RAM=61Gi/62Gi, Load=15.61
17:24:08: CPU=93.9%, RAM=61Gi/62Gi, Load=15.36
17:24:39: CPU=91.4%, RAM=62Gi/62Gi, Load=15.14
17:25:11: CPU=91.1%, RAM=62Gi/62Gi, Load=16.00
17:25:41: CPU=93.7%, RAM=62Gi/62Gi, Load=16.14
17:26:12: CPU=97.0%, RAM=62Gi/62Gi, Load=15.67
17:26:43: CPU=97.9%, RAM=56Gi/62Gi, Load=15.36
17:27:14: CPU=99.1%, RAM=56Gi/62Gi, Load=15.60
17:27:44: CPU=99.1%, RAM=56Gi/62Gi, Load=15.63
17:28:15: CPU=98.1%, RAM=53Gi/62Gi, Load=14.50
17:28:46: CPU=97.6%, RAM=54Gi/62Gi, Load=11.58
17:29:17: CPU=35.6%, RAM=55Gi/62Gi, Load=10.69
17:29:48: CPU=98.6%, RAM=55Gi/62Gi, Load=10.03
17:30:18: CPU=65.4%, RAM=32Gi/62Gi, Load=8.92
17:30:50: CPU=96.9%, RAM=43Gi/62Gi, Load=8.56
