09:47:05: CPU=4.5%, RAM=2.3Gi/62Gi, Load=0.45
09:47:35: CPU=3.3%, RAM=8.2Gi/62Gi, Load=1.61
09:48:06: CPU=97.8%, RAM=9.5Gi/62Gi, Load=6.49
09:48:36: CPU=73.8%, RAM=10Gi/62Gi, Load=7.17
09:49:07: CPU=99.1%, RAM=11Gi/62Gi, Load=8.82
09:49:38: CPU=94.5%, RAM=15Gi/62Gi, Load=9.73
09:50:09: CPU=98.1%, RAM=15Gi/62Gi, Load=10.64
09:50:40: CPU=98.6%, RAM=15Gi/62Gi, Load=12.08
09:51:12: CPU=94.0%, RAM=12Gi/62Gi, Load=12.25
09:51:42: CPU=96.3%, RAM=6.5Gi/62Gi, Load=8.77
09:52:13: CPU=99.5%, RAM=7.0Gi/62Gi, Load=7.04
09:52:44: CPU=98.7%, RAM=6.4Gi/62Gi, Load=5.35
09:53:15: CPU=51.4%, RAM=7.5Gi/62Gi, Load=3.45
09:53:45: CPU=93.8%, RAM=10Gi/62Gi, Load=3.79
09:54:16: CPU=97.6%, RAM=11Gi/62Gi, Load=4.33
09:54:47: CPU=92.8%, RAM=12Gi/62Gi, Load=4.50
09:55:17: CPU=97.8%, RAM=12Gi/62Gi, Load=5.99
09:55:48: CPU=98.1%, RAM=13Gi/62Gi, Load=4.27
09:56:19: CPU=35.8%, RAM=14Gi/62Gi, Load=5.02
09:56:50: CPU=94.3%, RAM=16Gi/62Gi, Load=4.98
09:57:21: CPU=80.0%, RAM=15Gi/62Gi, Load=5.33
09:57:52: CPU=99.1%, RAM=13Gi/62Gi, Load=4.48
09:58:23: CPU=29.1%, RAM=14Gi/62Gi, Load=4.97
09:58:53: CPU=94.1%, RAM=11Gi/62Gi, Load=4.27
09:59:25: CPU=99.1%, RAM=13Gi/62Gi, Load=5.37
09:59:56: CPU=29.4%, RAM=11Gi/62Gi, Load=4.49
10:00:26: CPU=6.3%, RAM=11Gi/62Gi, Load=5.03
10:00:56: CPU=99.1%, RAM=9.8Gi/62Gi, Load=5.25
10:01:27: CPU=99.1%, RAM=12Gi/62Gi, Load=6.40
10:01:58: CPU=98.1%, RAM=12Gi/62Gi, Load=6.55
10:02:29: CPU=99.1%, RAM=13Gi/62Gi, Load=6.21
10:03:00: CPU=95.9%, RAM=18Gi/62Gi, Load=6.65
10:03:31: CPU=96.2%, RAM=18Gi/62Gi, Load=8.23
10:04:02: CPU=80.9%, RAM=14Gi/62Gi, Load=7.09
10:04:33: CPU=0.5%, RAM=9.9Gi/62Gi, Load=6.10
10:05:03: CPU=77.4%, RAM=10Gi/62Gi, Load=6.01
10:05:34: CPU=98.6%, RAM=10Gi/62Gi, Load=6.99
10:06:05: CPU=1.5%, RAM=10Gi/62Gi, Load=8.38
10:06:36: CPU=35.5%, RAM=8.4Gi/62Gi, Load=6.21
10:07:06: CPU=98.8%, RAM=9.8Gi/62Gi, Load=6.93
10:07:37: CPU=33.3%, RAM=10Gi/62Gi, Load=5.16
10:08:08: CPU=34.2%, RAM=10Gi/62Gi, Load=8.55
10:08:38: CPU=95.7%, RAM=6.8Gi/62Gi, Load=7.08
10:09:09: CPU=94.7%, RAM=8.5Gi/62Gi, Load=6.37
10:09:40: CPU=99.5%, RAM=7.3Gi/62Gi, Load=6.13
10:10:10: CPU=99.1%, RAM=7.3Gi/62Gi, Load=9.73
10:10:41: CPU=98.6%, RAM=7.3Gi/62Gi, Load=11.95
10:11:12: CPU=97.7%, RAM=7.3Gi/62Gi, Load=11.74
10:11:43: CPU=99.1%, RAM=7.3Gi/62Gi, Load=13.11
10:12:14: CPU=18.5%, RAM=7.4Gi/62Gi, Load=13.71
10:12:45: CPU=99.1%, RAM=8.4Gi/62Gi, Load=11.90
10:13:16: CPU=97.4%, RAM=8.4Gi/62Gi, Load=11.48
10:13:47: CPU=98.6%, RAM=8.4Gi/62Gi, Load=13.30
10:14:18: CPU=99.1%, RAM=8.4Gi/62Gi, Load=13.86
10:14:49: CPU=99.0%, RAM=9.3Gi/62Gi, Load=12.50
10:15:20: CPU=99.1%, RAM=9.3Gi/62Gi, Load=13.44
10:15:51: CPU=99.1%, RAM=9.3Gi/62Gi, Load=14.46
10:16:22: CPU=99.0%, RAM=9.3Gi/62Gi, Load=14.96
10:16:53: CPU=99.1%, RAM=10Gi/62Gi, Load=12.85
10:17:24: CPU=99.1%, RAM=10Gi/62Gi, Load=13.81
10:17:55: CPU=99.1%, RAM=10Gi/62Gi, Load=14.16
10:18:25: CPU=99.5%, RAM=10Gi/62Gi, Load=13.45
10:18:56: CPU=99.0%, RAM=10Gi/62Gi, Load=11.17
10:19:27: CPU=13.2%, RAM=7.3Gi/62Gi, Load=7.01
10:19:58: CPU=98.2%, RAM=8.9Gi/62Gi, Load=8.84
10:20:28: CPU=82.7%, RAM=8.9Gi/62Gi, Load=11.77
10:20:59: CPU=94.7%, RAM=9.9Gi/62Gi, Load=12.73
10:21:30: CPU=50.7%, RAM=10Gi/62Gi, Load=14.20
10:22:00: CPU=98.2%, RAM=20Gi/62Gi, Load=9.77
10:22:31: CPU=93.8%, RAM=20Gi/62Gi, Load=12.28
10:23:02: CPU=98.5%, RAM=20Gi/62Gi, Load=13.58
10:23:33: CPU=98.3%, RAM=22Gi/62Gi, Load=12.67
10:24:04: CPU=98.3%, RAM=25Gi/62Gi, Load=12.82
10:24:35: CPU=95.3%, RAM=25Gi/62Gi, Load=14.08
10:25:06: CPU=90.9%, RAM=25Gi/62Gi, Load=15.08
10:25:36: CPU=90.8%, RAM=25Gi/62Gi, Load=15.40
10:26:07: CPU=90.1%, RAM=26Gi/62Gi, Load=13.28
10:26:38: CPU=96.5%, RAM=26Gi/62Gi, Load=14.30
10:27:09: CPU=95.5%, RAM=26Gi/62Gi, Load=14.66
10:27:41: CPU=98.2%, RAM=26Gi/62Gi, Load=14.14
10:28:11: CPU=95.4%, RAM=25Gi/62Gi, Load=14.72
10:28:42: CPU=96.6%, RAM=24Gi/62Gi, Load=15.01
10:29:13: CPU=84.0%, RAM=24Gi/62Gi, Load=14.63
10:29:44: CPU=99.0%, RAM=24Gi/62Gi, Load=14.96
10:30:14: CPU=96.3%, RAM=24Gi/62Gi, Load=14.92
